Title,Ingredients,Instructions,Category,Duration,ingredient_tags
Chicken soup,"1 roast chicken carcass with
meat left on
225g/8oz chicken wings
1 onion, diced
1 leek, diced
1 parsnip, diced
6 whole black peppercorns","• Preheat the oven to 150°C/300°F/
Gas mark 2. Put in a large heavy
saucepan with the chicken wings.
• Add the onion, leek and parsnip,
and bring to the boil. While the
water is heating, add the whole
peppercorns.
• Once the stock has boiled, transfer
to an ovenproof dish and cook in
the oven for 2 hours. Skim off any
scum from the surface using a
slotted spoon, and strain the stock
you have created. Discard
everything except for the chicken.
• When cool enough to handle, take
out the carcass and shred the
chicken before returning it to the
stock. Serve hot.",Soups,140,"chicken carcass, chicken wings, onion, leek, parsnip, peppercorns"
Chicken noodle soup,"900ml/1.5pt chicken stock
1 bay leaf
4 spring onions, sliced
225g/8oz button mushrooms,
sliced
100g/4oz cooked skinless
chicken breast, thinly sliced
50g/2oz soup pasta such as
orzo or ditalini
150ml/5fl oz dry white wine
1 tablespoon chopped fresh
flat-leaf parsley
salt and ground black pepper","• Put the stock and bay leaf into a
heavy pan, and bring to the boil.
Add the spring onions and
mushrooms to the simmering stock.
• Add the chicken to the soup, and
season with salt and pepper. Heat
through for 2–3 minutes.
• Add the pasta, cover and simmer
for 7–8 minutes.
• Just before serving, add the wine
and parsley, heat the soup through
for 2–3 minutes, then check the
seasoning and adjust if necessary.
Serve hot.",Soups,60,"chicken stock, bay leaf, onion, mushrooms, chicken breast, pasta, white wine, parsley, salt, pepper"
Clam chowder,"8 celery sticks, chopped
700g/1.5lb onions, chopped
1.8kg/4lb red potatoes, diced
900g/2lb canned clams
with juice
3 teaspoons dried thyme
1 teaspoon dried oregano
2 teaspoons dried basil
225ml/8fl oz fish bouillon
2 teaspoons ground white pepper
225g/8oz butter
250g/9oz plain flour
3 garlic cloves, finely chopped
1.2 litres/2pt milk"," Put the celery, onions, potatoes,
clams, thyme, oregano, basil,
bouillon and pepper in a large
heavy saucepan. Gently cook for
30–45 minutes until the vegetables
and potatoes are soft.
• To make a roux, melt the butter in
a small heavy pan, add the flour
and garlic, and stir constantly with
a wooden spoon for a few minutes
until slightly brown.
• Combine the roux with the
vegetable mixture and add the
milk. Stir well and cook for
10 minutes. Serve hot.",Soups,60,"celery, onion, potato, clams, thyme, oregano, basil, fish bouillon, white pepper, butter, flour, garlic, milk"
Cock-a-leekie,"450g/1lb prunes, stoned
1.3kg/3lb boiling chicken
2.4 litres/4pt chicken stock
900g/2lb leeks, well rinsed
1 bouquet garni
salt and ground black pepper","Put the prunes in a bowl, cover with cold water and soak overnight.
• Set the chicken, breast-side down, in a large casserole dish. Pour in the
stock and bring to the boil, skimming off any scum from the surface.
• Using string, tie half the leeks in a bundle; thinly slice the remainder.
Add the bundle of leeks to the casserole dish with the bouquet garni and
a pinch of salt. Reduce the heat, part-cover and simmer for 2 hours.
• Lift out the chicken and keep to one side to cool slightly. Remove and
discard the bundle of leeks and bouquet garni. Drain the prunes, add
them to the casserole dish and simmer for 20 minutes.
• Shred the meat from the cooled chicken, discarding any skin and bones,
and add the meat to the soup. Season to taste with salt and pepper, then
add the sliced leeks. Simmer for a further 10 minutes, then serve.",Soups,60,"prunes, chicken, chicken stock, leeks, bouquet garni, salt, pepper"
Courgette & spinach soup,"2 tablespoons vegetable oil
1 onion, chopped
2 courgettes, chopped
1 potato, chopped
100g/4oz spinach, chopped
3 sprigs of fresh flat-leaf parsley
1.2 litres/2pt vegetable stock
150ml/5fl oz double cream
salt and freshly ground
black pepper ","Heat the oil in a saucepan, and
sweat the onion and courgette until
the onion is transparent.
• Add the potato, spinach, parsley
and stock. Bring to the boil, reduce
the heat and simmer the soup for
20 minutes. Allow to cool before
blending or processing to a purée.
• Return the soup to a clean pan, stir
in the cream and season with salt
and pepper. Reheat gently without
boiling and serve.",Soups,40,"vegetable oil, onion, courgettes, potato, spinach, parsley, vegetable stock, double cream, salt, pepper"
Hot & sour soup,"8 dried shiitake mushrooms
25g/1oz cornflour
3 tablespoons dry sherry
100g/4oz pork loin
1.2 litres/2pt chicken stock
50g/2oz bamboo shoots, sliced
1 tablespoon light soy sauce
2 tablespoons red wine vinegar
1 egg, lightly beaten
225g/8oz tofu, diced
salt and freshly ground
black pepper","In a medium bowl, soak the mushrooms in warm water for 20 minutes,
then drain, squeeze out any excess moisture and cut into 1cm/1/2in slices.
• In a small dish, stir the cornflour into the sherry and set aside.
• Put the pork loin in a large heavy pan and completely cover with water.
Simmer until tender, then cool and shred.
• Bring the stock to the boil. Stir in the pork, mushrooms and bamboo shoots.
Simmer for 10 minutes, then stir in the soy sauce and red wine vinegar.
Season with salt and pepper, then stir in the reserved cornflour mixture.
Keep stirring until the soup has thickened.
• Remove from the heat and whisk in the egg. Mix in the tofu and heat
through. Serve the soup hot.",Soups,60,"mushrooms, cornflour, sherry, pork, chicken stock, bamboo shoots, soy sauce, red wine vinegar, egg, tofu, salt, pepper"
Fish chowder,"3 tablespoons olive oil
200g/7oz onion, finely chopped
200g/7oz celery, finely chopped
150g/5oz carrot, finely chopped
400g/14oz canned chopped
tomatoes
1 teaspoon finely chopped garlic
100g/4oz plain flour
1/2 teaspoon ground cinnamon
1/2 teaspoon dried marjoram
1/2 teaspoon dried oregano
2.4 litres/4pt fish stock
200g/7oz cooked boneless cod
fillets, flaked
25ml/1fl oz dark rum
25ml/1fl oz Worcestershire sauce
1 tablespoon Tabasco sauce
salt and ground black pepper","Heat the olive oil in a heavy saucepan over a medium heat. Sweat the
vegetables, tomatoes and garlic for 5 minutes, stirring continuously.
• Add the flour, cinnamon and herbs, and continue to cook for a further
2 minutes. Add the stock and bring to the boil, then crumble the fish into
the pan with the rum, Worcestershire sauce and Tabasco. Simmer for
1 hour, stirring occasionally.
• Season with salt and pepper, and serve hot.",Soups,90,"olive oil, onion, celery, carrot, tomato, garlic, flour, cinnamon, marjoram, oregano, fish stock, cod, rum, Worcestershire sauce, Tabasco sauce, salt, pepper"
French bean soup,"1 tablespoon olive oil
1 onion, chopped
2 celery sticks, thinly sliced
3 garlic cloves, minced
550g/1lb 4oz canned cooked
cannellini beans, drained
400ml/14fl oz vegetable stock
125ml/4fl oz white wine
3 sprigs of fresh rosemary
1/4 teaspoon ground white pepper
100g/4oz mozzarella cheese,
grated"," Heat the oil in a large saucepan
over a medium-high heat. Add the
onion, celery and garlic, and
sweat for 5 minutes until soft,
stirring frequently.
• Add the remaining ingredients
except the cheese, and bring the
mixture to the boil. Reduce the heat
and cover the pan, then simmer for
10–15 minutes.
• To serve, remove and discard the
rosemary sprigs. Ladle the soup
into warm bowls, and top each
serving with a little of the cheese.",Soups,30,"olive oil, onion, celery, garlic, beans, vegetable stock, white wine, rosemary, white pepper, mozzarella"
French onion soup,"900g/2lb onions, thinly sliced
50g/2oz butter
900ml/1.5pt vegetable stock
salt and freshly ground
black pepper","• Fry the onions very gently in the
butter in a covered saucepan for
15 minutes until soft and starting
to caramelize. Remove the lid,
increase the heat and fry, stirring,
for about 20 minutes until the
onions are a rich golden brown.
• Add the stock and bring to the
boil. Reduce the heat, part-cover
and simmer for 15 minutes. Season
with salt and pepper, and serve",Soups,40,"onion, butter, vegetable stock, salt, black pepper"
Gazpacho,"ingredients
2 large garlic cloves
1 egg yolk
1 thick slice bread, crust
removed
90ml/3fl oz olive oil
450g/1lb canned whole peeled
plum tomatoes
900g/2lb ripe tomatoes,
deseeded and chopped
1 large onion, choped
1 cucumber, peeled and
chopped
2 red peppers, seeded and
chopped
1 tablespoon tomato purée
sea salt and freshly ground
black pepper
2 lemons, cut into wedges,
to serve","• Put the garlic, egg yolk and bread
in a blender or food processor.
With the motor running, slowly add
the oil in a thin steady stream until
the mixture turns to mayonnaise.
• Add the chopped tomatoes, onion,
cucumber, peppers and tomato
purée in batches, and continue
blending until smooth.
• Season with salt and pepper to
taste, and chill in the refrigerator
until ready to serve.
• Just before serving, check the
seasoning and adjust if necessary.
Serve cold with lemon wedges for
squeezing over",Soups,60,"garlic, egg, bread, olive oil, tomato, onion, cucumber, red peppers, tomato puree, salt, pepper, lemon"
Chilled cucumber soup,"1 onion, diced
50g/2oz butter
550g/1lb 4oz cucumber, diced
1.8 litres/3pt vegetable stock
2 tablespoons chopped fresh
parsley
juice of 1/2 lemon
600ml/1pt single cream
salt and freshly ground
black pepper"," In a heavy saucepan, gently sweat
the onion in the butter until soft and
translucent, but not coloured. Add
the cucumber and continue to cook
gently for a further 5 minutes.
• Pour in the stock and bring to the
boil. Reduce the heat, season with
salt and pepper, and simmer for
5 minutes. Add the parsley and
lemon juice, and continue to cook
for a further 5 minutes.
• Blend or process the soup to a
purée. Allow to cool, then transfer
to the refrigerator to chill.
• When ready to serve, whisk in the
single cream. Serve chilled.",Soups,30,"onion, butter, cucumber, vegetable stock, parsley, lemon, single cream, salt, black pepper"
Leek & potato soup,"50g/2oz butter
450g/1lb leeks, trimmed and
finely sliced
700g/1.5lb potatoes, roughly
chopped
900ml/1.5pt vegetable stock
4 sprigs of fresh rosemary
450ml/3/4pt milk
2 tablespoons chopped fresh
flat-leaf parsley
2 tablespoons crème fraîche
salt and ground black pepper","• Melt the butter in a large saucepan, add the leeks and sweat gently for
5 minutes, stirring frequently. Add the potatoes, stock, rosemary and
milk. Bring to the boil, then reduce the heat, cover and simmer gently for
20–25 minutes until the vegetables are tender. Remove from the heat.
• Cool for 10 minutes. Discard the rosemary, then pour into a blender or
food processor, and purée until smooth. Return to a clean pan, and stir in
the parsley and crème fraîche. Season to taste. Reheat gently and serve.",Soups,40,"butter, leek, potato, vegetable stock, rosemary, milk, parsley, creme fraiche, salt, black pepper"
Beef & lentil soup,"300g/11oz dried red lentils,
picked and rinsed
225g/8oz stewing beef, cubed
1 leek, finely chopped
3 large carrots, finely chopped
2 celery sticks, finely chopped
1 tablespoon vegetable oil
2 onions, finely chopped
2 tablespoons plain flour
50ml/2fl oz dry white wine","Bring 1.8 litres/3pt water to the boil in a large heavy saucepan. Add the
lentils, beef, leek, carrots and celery. Return to the boil, then reduce the
heat, cover the pan and simmer for 40 minutes.
• Remove the beef, drain on kitchen paper and brown in the oil in a frying
pan over a high heat. When the pan is very hot, add the onions and sauté
for 15 minutes, stirring frequently. Sprinkle the flour over the onions and stir
with a wooden spoon until the flour browns.
• Pour 225ml/8fl oz of the lentil mixture over the onions and stir vigorously.
Add the white wine; cook for a further 1 minute. Tip the contents of the
frying pan into the lentil mixture. Simmer for 30 minutes before serving",Soups,60,"red lentil, beef, leek, carrot, celery, vegetable oil, onion, flour, white wine"
Lettuce soup,"700g/1.5lb lobster
100g/4oz butter
50g/2oz carrots, diced
1 small onion, chopped
1/2 bay leaf
pinch of thyme
2 sprigs of fresh flat-leaf parsley
3 tablespoons Cognac
75ml/3fl oz dry white wine
125ml/4fl oz fish stock
50g/2oz plain flour
350ml/12fl oz boiling milk
3 tablespoons double cream
salt and freshly ground black pepper","Crack the lobster claws and cut the body and tail into four or five
pieces. Set aside.
• Sauté the carrots and onion in 25g/1oz of the butter for 5 minutes. Add
the bay leaf, thyme, parsley and lobster, and cook for about 5 minutes
until the lobster turns red. Add 2 tablespoons of the Cognac and ignite.
• When the flames die down, add the wine and stock, and simmer for
20 minutes.
• Remove the meat from the lobster, reserving the shells and broth.
• Melt the remaining butter in a saucepan. Add the flour and cook, stirring
constantly, for 2 minutes to make a roux. Gradually add the boiling milk,
whisking or stirring with a wooden spoon until smooth.
• Crush the lobster shells and add to the sauce. Add the reserved broth
with the vegetables and simmer, covered, for 1 hour. Strain through a
sieve into a clean pan. Bring to the boil and stir in the cream.
• To serve, add the lobster meat and the remaining Cognac. Season with
salt and pepper, and serve hot",Soups,120,"lobster, butter, carrot, onion, bay leaf, thyme, parsley, Cognac, white wine, fish stock, flour, milk, double cream, salt, black pepper"
Minestrone,"100g/4oz carrot, chopped
100g/4oz celery, chopped
100g/4oz onion, chopped
2 garlic cloves, minced
1 tablespoon chopped
fresh basil
1 tablespoon chopped
fresh oregano 1/2 teaspoon ground pepper
425g/15oz canned cooked red
kidney beans, drained
400g/14oz canned chopped
tomatoes
150g/5oz cabbage, coarsely
chopped
1 courgette, chopped
75g/3oz soup pasta such as
orzo or ditalini","• Pour 900ml/1.5pt water into a
large heavy saucepan. Add the
carrot, celery, onion, garlic, basil,
oregano and pepper.
• Bring to the boil, then reduce the
heat. Cover the pan, and simmer
the mixture for 15 minutes.
• Add the kidney beans to the pan
with the tomatoes, cabbage,
courgette and pasta. Return to the
boil and reduce the heat. Cover the
pan and simmer for 5–10 minutes
until the pasta is cooked until al
dente. Serve hot.",Soups,30,"carrot, celery, onion, garlic, basil, oregano, pepper, beans, tomato, cabbage, courgette, soup pasta"
Mushroom soup,"350g/12oz mushrooms, finely
chopped
50g/2oz butter
3 tablespoons chopped fresh
flat-leaf parsley
2 tablespoons fresh breadcrumbs
(without any crust) 1/2 garlic clove
900ml /1.5 pt chicken stock
pinch of freshly grated nutmeg
2 tablespoons double cream
salt and ground black pepper","• Sauté the mushroom with the butter
in a heavy saucepan for a few
minutes. Add the parsley and
cook, stirring, until soft.
• Add the breadcrumbs and garlic,
stir and pour in the chicken stock
with a pinch of nutmeg. Season
with salt and pepper. Bring to the
boil and simmer for 15 minutes.
• Purée the soup in a food processor
or blender until smooth. Return to a
clean pan, stir in the cream and
reheat gently. Serve hot.",Soups,30,"mushroom, butter, parsley, breadcrumb, garlic, chicken stock, nutmeg, double cream, salt, black pepper"
Mulligatawny,"1 garlic clove, minced
1/4 teaspoon ground cumin
6 cloves, finely crushed
1 tablespoon curry powder
1/4 teaspoon ground ginger
50g/2oz butter
1 roasting chicken, cut into serving pieces
3 celery sticks, thinly sliced
2 large onions, chopped
2 carrots, diced
1 leek, white part only, thinly sliced
2.4 litres/4pt chicken stock
salt and freshly ground black pepper
200g/7oz long-grain rice
2 dessert apples, peeled, cored and diced
225ml/8fl oz plain yogurt
2 tablespoons lemon juice
150ml/5fl oz whipping cream, gently warmed"," Combine the garlic and spices. Melt the butter in a large heavy frying
pan over a medium-high heat. Add the chicken and sauté until lightly
browned on all sides. Transfer the chicken to a casserole dish.
• Drain all but 1 tablespoon of the fat from the frying pan. Add the celery,
onion, carrot, leek and spice mixture, and blend well until the spices are
aromatic. Add a small ladle of stock and cook over a low heat, stirring
constantly, until the vegetables are tender. Add to the chicken.
• Stir the remaining stock into the casserole dish, and season with salt and
pepper. Cover and simmer for 30 minutes.
• Remove the chicken with a slotted spoon and set aside. Add the rice to
the soup and continue cooking for a further 15 minutes.
• When the chicken is cool enough to handle, cut into bite-sized pieces,
discarding the skin and bones. Return the chicken to the soup. Peel, core
and dice the apples, and blend into the soup with the yogurt. Simmer for
10 minutes.
• Stir in the lemon juice, then blend in the cream. Taste and adjust the
seasoning if necessary. Serve hot.",Soups,60,"garlic, cumin, curry powder, ginger, butter, chicken, celery, onion, carrot, leek, chicken stock, salt, black pepper, rice, apple, yogurt, lemon juice, whipping cream"
Oxtail soup,"25g/1oz beef dripping
2 oxtails
1 large onion, diced
1 carrot, diced
2 celery sticks
2 sprigs of fresh flat-leaf parsley
1 bay leaf
2 tablespoons pearl barley
1 tablespoon plain flour mixed
with 2 tablespoons water
salt and freshly ground
black pepper"," Melt the dripping in a heavy
saucepan. Fry the oxtails, onion
and carrot until brown, then add
1.2 litres/2pt water.
• Tie the celery, parsley and bay leaf
together, and add to the soup.
• Bring to the boil, add the pearl
barley and simmer for 4 hours,
skimming off any scum that rises to
the surface.
• Remove the large bones and
celery, parsley and bay leaf, then
thicken the soup with the flour
paste, stirring all the while.
• Season with salt and pepper, and
serve hot.",Soups,300,"beef dripping, oxtail, onion, carrot, celery, parsley, bay leaf, pearl barley, flour, salt, black pepper"
Oyster soup,"50g/2oz butter
50g/2oz plain flour
900ml/1.5pt fish stock
12 large oysters, shucked and
quartered
2 tablespoons finely chopped
fresh flat-leaf parsley
1 lemon, cut into wedges,
to serve","• Heat the butter and, using a
wooden spoon, stir in the flour and
cook for 2 minutes. Stir in the stock
slowly, until smooth and thick.
• Put the oysters in the stock and
simmer for no more than 3 minutes.
• Sprinkle the soup with the parsley
and serve with lemon wedges.",Soups,30,"butter, flour, fish stock, oyster, parsley, lemon"
Chilled pea soup,"1 large fennel bulb, coarsely
chopped
275g/10oz frozen peas, thawed
75ml/3fl oz double cream
1 teaspoon lemon liqueur such as
lemon schnapps or limoncello
1 teaspoon chopped spring onion
salt and freshly ground
black pepper
1 tablespoon chopped fresh mint,
to garnish","• Put the fennel and 1.2 litres/2pt
water in a large pan over a
medium-high heat, and simmer for
10 minutes. Strain the fennel broth
and discard the solids.
• Purée the peas, cream, liqueur and
spring onions in a blender or food
processor. Season with salt and
pepper, then add the broth and
blend until smooth.
• Strain the soup through a sieve into
a metal bowl. Set in a larger bowl,
and fill the outer bowl with iced
water to reach halfway up side of
the inner bowl. Stir until the soup is
cold. Serve garnished with mint.",Soups,30,"fennel, pea, double cream, lemon liqueur, onion, salt, black pepper, mint"
Pea & mint soup,"450g/1lb frozen peas
900ml/1.5pt vegetable stock
pinch of granulated sugar
1 large sprig of fresh mint
1 egg yolk
50ml/2fl oz single cream
salt and freshly ground
black pepper","• Put the peas in a large pan with
the stock, sugar, mint and a little
salt and pepper. Bring to the boil,
reduce the heat, cover and simmer
for 15 minutes.
• Discard the mint, then purée the
mixture in a blender or food
processor. Return to the heat.
• Blend the egg yolk with half the
cream and stir into the soup. Return
the soup to a clean pan and
reheat, but do not allow to boil.
• Taste and adjust the seasoning if
necessary. Serve garnished with
the remaining cream.",Soups,30,"peas, vegetable stock, sugar, mint, egg, single cream, salt, black pepper"
Potato soup,"8 rashers back bacon
200g/7oz onion, chopped
450g/1lb potatoes, cubed
275g/10oz canned condensed
chicken soup
600ml/1pt milk
1 teaspoon dried dill
salt and freshly ground
black pepper"," In a large saucepan, sauté the
bacon until crisp. Remove and
drain on kitchen paper. Sauté the
onions in the bacon fat over a
medium heat until soft and golden.
• Add the potatoes and enough
water to cover. Cover the pan, and
cook for 15–20 minutes until the
potatoes are tender.
• Stir together the condensed soup
and milk until smooth, and add to
potato mixture. Heat but do not
allow to boil. Season with salt and
pepper to taste, and stir in the dill.
• Crumble the bacon and sprinkle on
top to garnish. Serve hot.",Soups,30,"bacon, onion, potato, chicken soup, milk, dill, salt, black pepper"
"Spinach, feta & pear salad","2 dessert pears such as Comice,
peeled, cored and sliced
4 tablespoons walnut oil
100g/4oz baby spinach leaves
175g/6oz feta cheese, diced
75g/3oz walnut pieces
1 teaspoon freshly squeezed
lemon juice
freshly ground black pepper","• Toss the pears in a little of the oil.
• In a large salad bowl, combine the
spinach, feta cheese and walnut
pieces. Gently stir in the pears.
• Whisk together the lemon juice
and remaining oil, and season with
pepper. Drizzle over the salad.
• Refrigerate, covered, until required.",Salad,15,"pears, walnut oil, spinach leaves, feta cheese, walnuts, lemon juice, black pepper"
Grilled artichoke salad,"400g/14oz canned artichoke
hearts, drained and halved
olive oil for brushing
3 Little Gem lettuces
salt and freshly ground
black pepper
For the dressing
200ml/7fl oz extra virgin
olive oil
200ml/7fl oz grapeseed oil
125ml/4fl oz white wine vinegar
pinch of granulated sugar
pinch of mustard powder
2 garlic cloves, crushed","• Preheat the grill until hot. Season
the artichoke hearts with salt and
pepper, and brush with olive oil.
Grill until charred round the edges.
• To make the dressing, put the oils,
vinegar, sugar, mustard powder
and garlic into a large screwtop
glass jar. Seal the jar and shake
well. Season with salt and pepper.
• Toss the lettuces in the dressing
with the artichokes, and serve",Salad,10,"artichokes, olive oil, lettuce, black pepper, white wine vinegar, sugar, mustard powder, garlic"
Tuscan bean & tuna salad,"1 small onion, finely chopped
2 x 400g/14oz cans butter
beans, drained
2 tomatoes, cut into wedges
175g/6oz canned tuna in oil,
drained
2 tablespoons chopped fresh
flat-leaf parsley
For the dressing
2 tablespoons olive oil
1 tablespoon freshly squeezed
lemon juice
2 teaspoons clear honey
1 garlic clove, crushed","• Put the onion and butter beans in a
bowl, and mix well. Add the
tomatoes. Flake the tuna with a
fork, and add it to the mixture
together with the parsley.
• To make the dressing, mix together
the oil, lemon juice, honey and
garlic in a screwtop glass jar. Seal
the jar tightly, and shake until the
dressing thickens.
• Pour the dressing over the salad.
Toss the ingredients together, and
serve straight away",Salad,5,"onions, butter beans, tomatoes, canned tuna, parsley, olive oil, lemon juice, honey, garlic"
